year,state,homes_sold,population
2021,Alaska,163,"734,420 "
2023,Minnesota,266,"5,753,048 "
2021,Texas,364,"29,570,351 "
2024,Colorado,788,"5,957,493 "
2024,Washington,461,"7,958,180 "
2024,New Mexico,38,"2,130,256 "
2024,New Hampshire,70,"1,409,032 "
2020,Wyoming,53,"577,681 "
2021,Texas,343,"29,570,351 "
2021,Pennsylvania,10569,"13,015,571 "
2021,Michigan,247,"10,041,351 "
2022,Columbia,55,"676,725 "
2021,Oklahoma,48,"3,992,238 "
2023,Virginia,57,"8,734,685 "
2023,Oregon,3722,"4,253,653 "
2022,Nebraska,23,"1,972,246 "
2023,Texas,959,"30,727,890 "
2023,Delaware,549,"1,036,423 "
2021,Louisiana,223,"4,627,971 "
2023,South Dakota,5,"918,305 "
2020,Ohio,8399,"11,798,905 "
2022,Oregon,253,"4,247,372 "
2022,New Hampshire,1245,"1,396,678 "
2022,New Mexico,4361,"2,113,868 "
2020,Kentucky,97,"4,508,318 "
2022,Alabama,110,"5,076,181 "
2024,Ohio,9792,"11,883,304 "
2020,Oregon,217,"4,243,779 "
2022,Minnesota,134,"5,721,621 "
2021,Pennsylvania,11243,"13,015,571 "
2023,West Virginia,708,"1,770,495 "
2020,North Dakota,35,"779,563 "
2021,Arizona,929,"7,274,078 "
2022,South Carolina,597,"5,287,935 "
2021,Utah,703,"3,339,738 "
2020,Connecticut,562,"3,579,918 "
2024,Oklahoma,4720,"4,095,393 "
2023,New Hampshire,626,"1,402,199 "
2023,South Dakota,6,"918,305 "
2022,New Mexico,6,"2,113,868 "
2023,Minnesota,81,"5,753,048 "
2022,Tennessee,470,"7,062,217 "
2021,Tennessee,84,"6,965,740 "
2024,Washington,6740,"7,958,180 "
2023,Washington,55,"7,857,320 "
2022,South Dakota,13,"909,723 "
2021,South Dakota,10,"896,492 "
2020,Idaho,2841,"1,849,415 "
2024,Delaware,493,"1,051,917 "
2020,Wyoming,719,"577,681 "
2022,Arizona,98,"7,377,566 "
2023,Pennsylvania,12268,"13,017,721 "
2023,Illinois,7988,"12,642,259 "
2020,Nevada,216,"3,116,967 "
2023,Delaware,234,"1,036,423 "
2022,Missouri,8022,"6,179,414 "
2021,Kentucky,4893,"4,507,583 "
2024,Florida,20101,"23,372,215 "
2020,Montana,80,"1,087,230 "
2020,Florida,32173,"21,592,035 "
2021,Iowa,246,"3,198,613 "
2023,Maine,1572,"1,399,646 "
2024,New Jersey,431,"9,500,851 "
2021,South Carolina,1270,"5,194,274 "
2024,Idaho,70,"2,001,619 "
2022,North Carolina,56,"10,710,793 "
2024,Louisiana,122,"4,597,740 "
2020,Arkansas,37,"3,014,546 "
2024,Columbia,257,"702,250 "
2024,Montana,475,"1,137,233 "
2023,Hawaii,400,"1,441,387 "
2021,Massachusetts,7660,"7,000,474 "
2024,Utah,30,"3,503,613 "
2024,California,2980,"39,431,263 "
2024,Texas,923,"31,290,831 "
2020,Indiana,9062,"6,790,497 "
2024,Alaska,42,"740,133 "
2023,Oregon,4859,"4,253,653 "
2024,New Mexico,23,"2,130,256 "
2020,Delaware,256,"991,928 "
2021,West Virginia,151,"1,785,618 "
2020,Missouri,127,"6,154,744 "
2020,Arkansas,3284,"3,014,546 "
2022,Indiana,54,"6,844,545 "
2024,Pennsylvania,354,"13,078,751 "
2023,Iowa,35,"3,218,414 "
2020,Wyoming,29,"577,681 "
2021,Alaska,415,"734,420 "
2022,Iowa,376,"3,202,820 "
2023,Pennsylvania,460,"13,017,721 "
2022,Delaware,428,"1,020,625 "
2020,Arizona,623,"7,187,135 "
2021,Indiana,142,"6,815,907 "
2022,Columbia,720,"676,725 "
2021,Virginia,57,"8,658,910 "
2020,Montana,167,"1,087,230 "
2022,Montana,75,"1,122,095 "
2024,Missouri,6110,"6,245,466 "
2024,Georgia,570,"11,180,878 "
2024,Ohio,9982,"11,883,304 "
2020,Maine,1,"1,364,571 "
2023,Kentucky,29,"4,550,595 "
2021,Arkansas,75,"3,026,870 "
2023,Minnesota,264,"5,753,048 "
2022,Iowa,52,"3,202,820 "
2021,Mississippi,13,"2,947,209 "
2022,Louisiana,197,"4,593,687 "
2023,Montana,44,"1,131,302 "
2021,Iowa,34,"3,198,613 "
2024,South Carolina,730,"5,478,831 "
2024,Oregon,188,"4,272,371 "
2022,Arizona,874,"7,377,566 "
2020,Maine,82,"1,364,571 "
2020,Michigan,7154,"10,072,703 "
2020,Colorado,656,"5,787,129 "
2023,Florida,2189,"22,904,868 "
2023,Nebraska,7,"1,987,864 "
2023,Ohio,619,"11,824,034 "
2020,Massachusetts,649,"6,994,598 "
2022,Missouri,615,"6,179,414 "
2021,Utah,368,"3,339,738 "
2020,Idaho,2608,"1,849,415 "
2023,Minnesota,7689,"5,753,048 "
2020,New Jersey,497,"9,272,794 "
2022,Georgia,51,"10,931,805 "
2024,Arizona,8408,"7,582,384 "
2023,New Jersey,5051,"9,379,642 "
2022,Oklahoma,23,"4,026,229 "
2021,Washington,222,"7,743,760 "
2020,Tennessee,10692,"6,927,904 "
2022,Nevada,41,"3,176,116 "
2023,Maine,79,"1,399,646 "
2021,Alabama,370,"5,049,196 "
2023,Nebraska,90,"1,987,864 "
2022,Arkansas,58,"3,047,704 "
2021,Utah,3140,"3,339,738 "
2021,New Jersey,13183,"9,270,541 "
2020,Nevada,5091,"3,116,967 "
2022,Mississippi,53,"2,941,939 "
2020,Georgia,16330,"10,732,888 "
2024,North Carolina,1399,"11,046,024 "
2022,Minnesota,3993,"5,721,621 "
2024,Iowa,2897,"3,241,488 "
2022,North Carolina,13051,"10,710,793 "
2023,Pennsylvania,6084,"13,017,721 "
2020,Missouri,5013,"6,154,744 "
2021,Maryland,3196,"6,179,403 "
2024,Kentucky,3497,"4,588,372 "
2024,New Hampshire,808,"1,409,032 "
2023,Washington,639,"7,857,320 "
2020,New Mexico,5,"2,118,606 "
2022,Louisiana,196,"4,593,687 "
2020,Illinois,11491,"12,799,088 "
2023,South Carolina,4765,"5,387,830 "
2022,Vermont,449,"648,142 "
2021,Colorado,7874,"5,814,036 "
2020,Louisiana,16,"4,652,301 "
2024,Louisiana,69,"4,597,740 "
2021,Alaska,913,"734,420 "
2023,Missouri,60,"6,208,038 "
2021,Massachusetts,768,"7,000,474 "
2020,Virginia,1330,"8,637,615 "
2023,North Carolina,12110,"10,881,189 "
2024,Virginia,61,"8,811,195 "
2023,New Hampshire,1771,"1,402,199 "
2021,Louisiana,4464,"4,627,971 "
2022,New Mexico,884,"2,113,868 "
2021,Nevada,805,"3,148,141 "
2023,Tennessee,6972,"7,148,304 "
2022,Iowa,3674,"3,202,820 "
2022,Connecticut,3205,"3,617,925 "
2020,Louisiana,4594,"4,652,301 "
2024,Virginia,11345,"8,811,195 "
2022,Florida,44438,"22,379,312 "
2024,North Dakota,323,"796,568 "
2020,North Dakota,7,"779,563 "
2020,Alaska,739,"733,017 "
2020,Georgia,53,"10,732,888 "
2023,Virginia,8828,"8,734,685 "
2020,Wyoming,12,"577,681 "
2022,Columbia,455,"676,725 "
2021,Wisconsin,552,"5,881,608 "
2022,Massachusetts,4659,"7,022,468 "
2024,Minnesota,746,"5,793,151 "
2024,Florida,5061,"23,372,215 "
2020,Iowa,457,"3,191,141 "
2020,Columbia,8,"670,917 "
2024,New Mexico,27,"2,130,256 "
2023,New Hampshire,1099,"1,402,199 "
2022,Nebraska,15,"1,972,246 "
2020,Arkansas,4433,"3,014,546 "
2023,Missouri,53,"6,208,038 "
2024,Colorado,49,"5,957,493 "
2024,Alabama,5365,"5,157,699 "
2023,New Mexico,723,"2,121,164 "
2023,New York,990,"19,737,367 "
2022,Georgia,86,"10,931,805 "
2024,Wyoming,493,"587,618 "
2021,West Virginia,1163,"1,785,618 "
2024,Oklahoma,28,"4,095,393 "
2021,Wisconsin,525,"5,881,608 "
2021,Utah,52,"3,339,738 "
2022,Montana,1216,"1,122,095 "
2023,Louisiana,87,"4,588,071 "
2020,Wisconsin,300,"5,897,375 "
2024,Maryland,2105,"6,263,220 "
2020,Columbia,15,"670,917 "
2021,Illinois,2681,"12,700,641 "
2024,Utah,486,"3,503,613 "
2021,Montana,1689,"1,106,522 "
2021,New Jersey,772,"9,270,541 "
2021,North Carolina,1125,"10,564,320 "
2023,Nebraska,31,"1,987,864 "
2020,Arizona,466,"7,187,135 "
2020,Virginia,38,"8,637,615 "
2020,Iowa,31,"3,191,141 "
2023,Hawaii,620,"1,441,387 "
2020,West Virginia,1,"1,791,646 "
2024,Wisconsin,3389,"5,960,975 "
2023,Nebraska,17,"1,987,864 "
2023,Arizona,48,"7,473,027 "
2022,Colorado,818,"5,850,935 "
2020,North Carolina,15226,"10,449,652 "
2024,Michigan,191,"10,140,459 "
2022,Connecticut,358,"3,617,925 "
2024,Minnesota,72,"5,793,151 "
2021,Wyoming,9,"579,636 "
2021,Vermont,1122,"647,210 "
2023,South Dakota,15,"918,305 "
2020,New York,6378,"20,105,171 "
2023,New Jersey,484,"9,379,642 "
2022,Wyoming,678,"581,978 "
2022,Oregon,3544,"4,247,372 "
2022,Arizona,7307,"7,377,566 "
2020,New Jersey,6247,"9,272,794 "
2022,Missouri,121,"6,179,414 "
2021,Kentucky,268,"4,507,583 "
2024,Minnesota,2547,"5,793,151 "
2021,North Dakota,575,"777,966 "
2024,Connecticut,640,"3,675,069 "
2020,Pennsylvania,341,"12,996,143 "
2021,Tennessee,454,"6,965,740 "
2020,Arkansas,3134,"3,014,546 "
2021,Massachusetts,4540,"7,000,474 "
2023,New Jersey,860,"9,379,642 "
2020,Arizona,940,"7,187,135 "
2020,Georgia,821,"10,732,888 "
2021,Vermont,55,"647,210 "
2023,South Dakota,353,"918,305 "
2022,West Virginia,866,"1,774,122 "
2024,South Dakota,823,"924,669 "
2024,Columbia,71,"702,250 "
2020,Kansas,19,"2,938,172 "
2023,Arizona,699,"7,473,027 "
2024,New York,8288,"19,867,248 "
2024,Illinois,1122,"12,710,158 "
2024,North Carolina,45,"11,046,024 "
2024,Montana,664,"1,137,233 "
2024,North Carolina,11346,"11,046,024 "
2023,Illinois,8454,"12,642,259 "
2020,Oregon,258,"4,243,779 "
2021,Mississippi,1490,"2,947,209 "
2020,North Carolina,38,"10,449,652 "
2024,Indiana,101,"6,924,275 "
2023,Wyoming,688,"585,067 "
2024,Mississippi,42,"2,943,045 "
2020,Missouri,10546,"6,154,744 "
2020,Rhode Island,151,"1,096,530 "
2020,Oklahoma,49,"3,965,415 "
2023,Washington,5495,"7,857,320 "
2023,South Carolina,834,"5,387,830 "
2024,Kansas,3307,"2,970,606 "
2024,Colorado,4143,"5,957,493 "
2021,Illinois,660,"12,700,641 "
2022,Vermont,75,"648,142 "
2021,Texas,448,"29,570,351 "
2023,Louisiana,2825,"4,588,071 "
2022,Colorado,5700,"5,850,935 "
2021,Columbia,379,"669,256 "
2021,Utah,542,"3,339,738 "
2020,Illinois,1687,"12,799,088 "
2020,Michigan,66,"10,072,703 "
2023,California,2481,"39,198,693 "
2021,Colorado,6970,"5,814,036 "
2023,North Carolina,1205,"10,881,189 "
2024,Alaska,61,"740,133 "
2023,Columbia,318,"687,324 "
2023,Michigan,8562,"10,083,356 "
2020,Montana,1294,"1,087,230 "
2021,Massachusetts,813,"7,000,474 "
2021,Tennessee,535,"6,965,740 "
2024,Kansas,114,"2,970,606 "
2020,South Carolina,6537,"5,132,249 "
2024,New Jersey,5660,"9,500,851 "
2021,Tennessee,9049,"6,965,740 "
2023,Nebraska,1462,"1,987,864 "
2021,Florida,2573,"21,831,949 "
2022,Nevada,396,"3,176,116 "
2023,North Carolina,10651,"10,881,189 "
2020,Missouri,673,"6,154,744 "
2022,Pennsylvania,10027,"12,984,990 "
2022,Montana,820,"1,122,095 "
2023,Louisiana,2462,"4,588,071 "
2020,Nevada,262,"3,116,967 "
2022,Louisiana,5394,"4,593,687 "
2024,Pennsylvania,370,"13,078,751 "
2022,North Dakota,36,"781,057 "
2023,Massachusetts,4397,"7,066,568 "
2021,Hawaii,26,"1,447,029 "
2024,Minnesota,282,"5,793,151 "
2024,Kentucky,4088,"4,588,372 "
2021,Minnesota,254,"5,718,660 "
2021,Mississippi,38,"2,947,209 "
2020,New Jersey,1282,"9,272,794 "
2023,Delaware,29,"1,036,423 "
2021,Iowa,44,"3,198,613 "
2021,Nevada,5449,"3,148,141 "
2022,North Carolina,16447,"10,710,793 "
2022,Montana,67,"1,122,095 "
2020,Columbia,21,"670,917 "
2022,Nebraska,2120,"1,972,246 "
2023,Maryland,29,"6,217,062 "
2023,Minnesota,574,"5,753,048 "
2022,Idaho,56,"1,944,299 "
2024,Columbia,233,"702,250 "
2022,Mississippi,1490,"2,941,939 "
2023,Vermont,704,"648,708 "
2023,Missouri,4956,"6,208,038 "
2021,Alaska,62,"734,420 "
2022,Utah,39,"3,391,011 "
2023,Iowa,3281,"3,218,414 "
2022,California,25479,"39,142,414 "
2021,West Virginia,1186,"1,785,618 "
2023,Maryland,4086,"6,217,062 "
2023,Oregon,62,"4,253,653 "
2022,Oregon,218,"4,247,372 "
2023,Minnesota,4300,"5,753,048 "
2022,New Mexico,46,"2,113,868 "
2024,Nebraska,20,"2,005,465 "
2024,Alabama,24,"5,157,699 "
2021,New Jersey,8030,"9,270,541 "
2024,Montana,1227,"1,137,233 "
2022,New York,308,"19,703,747 "
2024,Utah,2718,"3,503,613 "
2024,Iowa,318,"3,241,488 "
2020,North Dakota,523,"779,563 "
2020,Georgia,385,"10,732,888 "
2023,Michigan,206,"10,083,356 "
2022,Indiana,63,"6,844,545 "
2021,Indiana,106,"6,815,907 "
2021,Maine,201,"1,378,931 "
2024,Delaware,7,"1,051,917 "
2020,Montana,853,"1,087,230 "
2023,Arkansas,1887,"3,069,463 "
2024,Minnesota,83,"5,793,151 "
2023,South Dakota,7,"918,305 "
2021,Wyoming,700,"579,636 "
2024,Connecticut,235,"3,675,069 "
2024,Georgia,549,"11,180,878 "
2024,Kansas,2412,"2,970,606 "
2024,Nevada,334,"3,267,467 "
2021,North Carolina,20213,"10,564,320 "
2024,Florida,2785,"23,372,215 "
2020,Mississippi,16,"2,958,536 "
2021,Columbia,289,"669,256 "
2020,Florida,6465,"21,592,035 "
2020,West Virginia,741,"1,791,646 "
2024,Kentucky,4524,"4,588,372 "
2022,Florida,486,"22,379,312 "
2022,Georgia,10656,"10,931,805 "
2023,Nebraska,2063,"1,987,864 "
2022,Ohio,521,"11,777,874 "
2021,Georgia,1418,"10,792,060 "
2022,North Carolina,812,"10,710,793 "
2022,Georgia,693,"10,931,805 "
2023,New Hampshire,965,"1,402,199 "
2021,Minnesota,381,"5,718,660 "
2024,Michigan,154,"10,140,459 "
2022,Alabama,135,"5,076,181 "
2024,Tennessee,40,"7,227,750 "
2023,Nebraska,29,"1,987,864 "
2024,Missouri,531,"6,245,466 "
2022,Mississippi,5,"2,941,939 "
2021,Missouri,9646,"6,171,374 "
2023,Columbia,177,"687,324 "
2024,Oklahoma,28,"4,095,393 "
2020,Arkansas,39,"3,014,546 "
2023,North Carolina,1249,"10,881,189 "
2021,Michigan,1478,"10,041,351 "
2023,South Dakota,31,"918,305 "
2023,Hawaii,1128,"1,441,387 "
2024,New Mexico,773,"2,130,256 "
2020,Columbia,114,"670,917 "
2022,Kansas,3438,"2,937,324 "
2023,North Dakota,22,"789,047 "
2020,Texas,35168,"29,239,570 "
2023,Colorado,639,"5,901,339 "
2023,Oregon,53,"4,253,653 "
2024,Ohio,680,"11,883,304 "
2022,Delaware,639,"1,020,625 "
2022,West Virginia,121,"1,774,122 "
2024,Missouri,134,"6,245,466 "
2022,Florida,10128,"22,379,312 "
2022,Louisiana,4682,"4,593,687 "
2022,Oregon,257,"4,247,372 "
2020,Colorado,71,"5,787,129 "
2024,Nebraska,25,"2,005,465 "
2024,New Hampshire,869,"1,409,032 "
2023,Washington,103,"7,857,320 "
2023,Montana,971,"1,131,302 "
2021,Nevada,57,"3,148,141 "
2020,Arkansas,53,"3,014,546 "
2022,Vermont,36,"648,142 "
2022,Nebraska,2031,"1,972,246 "
2021,Vermont,657,"647,210 "
2022,Virginia,846,"8,683,414 "
2024,Oklahoma,92,"4,095,393 "
2020,Michigan,8853,"10,072,703 "
2020,Oklahoma,26,"3,965,415 "
2023,New Hampshire,1055,"1,402,199 "
2022,Oregon,308,"4,247,372 "
2021,New Jersey,792,"9,270,541 "
2022,Oklahoma,5188,"4,026,229 "
2020,Maryland,21,"6,177,935 "
2023,North Dakota,407,"789,047 "
2020,Arizona,1052,"7,187,135 "
2021,Montana,185,"1,106,522 "
2023,Virginia,1903,"8,734,685 "
2021,Oregon,454,"4,254,280 "
2024,Oregon,57,"4,272,371 "
2020,Massachusetts,862,"6,994,598 "
2023,New Hampshire,42,"1,402,199 "
2024,New York,8115,"19,867,248 "
2023,New York,9349,"19,737,367 "
2020,New Mexico,1057,"2,118,606 "
2021,Montana,1394,"1,106,522 "
2021,Idaho,28,"1,904,848 "
2023,Massachusetts,920,"7,066,568 "
2021,Maine,139,"1,378,931 "
2022,New Mexico,952,"2,113,868 "
2021,Mississippi,28,"2,947,209 "
2024,Vermont,138,"648,493 "
2020,New York,11203,"20,105,171 "
2022,Massachusetts,8986,"7,022,468 "
2021,Columbia,541,"669,256 "
2024,Maryland,6760,"6,263,220 "
2023,Alaska,292,"736,510 "
2022,Kentucky,250,"4,519,233 "
2021,Idaho,95,"1,904,848 "
2021,Maryland,767,"6,179,403 "
2024,Kentucky,62,"4,588,372 "
2024,Texas,814,"31,290,831 "
2020,New Jersey,1318,"9,272,794 "
2023,Wyoming,355,"585,067 "
2021,Indiana,8832,"6,815,907 "
2022,Colorado,7829,"5,850,935 "
2021,New Hampshire,220,"1,387,677 "
2020,Indiana,319,"6,790,497 "
2024,Connecticut,259,"3,675,069 "
2024,New Hampshire,67,"1,409,032 "
2021,Nevada,5734,"3,148,141 "
2022,Columbia,11,"676,725 "
2020,Utah,5530,"3,284,077 "
2022,Alabama,5689,"5,076,181 "
2022,Tennessee,64,"7,062,217 "
2022,South Carolina,5559,"5,287,935 "
2023,Wyoming,416,"585,067 "
2021,Wisconsin,5602,"5,881,608 "
2024,Texas,249,"31,290,831 "
2023,Iowa,2773,"3,218,414 "
2022,Alabama,4650,"5,076,181 "
