state,year,population
North Dakota,2023,"789,047"
Ohio,2023,"11,824,034"
Oklahoma,2023,"4,063,882"
Oregon,2023,"4,253,653"
Pennsylvania,2023,"13,017,721"
Rhode Island,2023,"1,103,429"
South Carolina,2023,"5,387,830"
South Dakota,2023,"918,305"
Tennessee,2023,"7,148,304"
Texas,2023,"30,727,890"
Utah,2023,"3,443,222"
Vermont,2023,"648,708"
Virginia,2023,"8,734,685"
Washington,2023,"7,857,320"
West Virginia,2023,"1,770,495"
Wisconsin,2023,"5,930,405"
Wyoming,2023,"585,067"
Alabama,2024,"5,157,699"
Alaska,2024,"740,133"
Arizona,2024,"7,582,384"
Arkansas,2024,"3,088,354"
California,2024,"39,431,263"
Colorado,2024,"5,957,493"
Connecticut,2024,"3,675,069"
Delaware,2024,"1,051,917"
Columbia,2024,"702,250"
Florida,2024,"23,372,215"
Georgia,2024,"11,180,878"
Hawaii,2024,"1,446,146"
Idaho,2024,"2,001,619"
Illinois,2024,"12,710,158"
Indiana,2024,"6,924,275"
Iowa,2024,"3,241,488"
Kansas,2024,"2,970,606"
Kentucky,2024,"4,588,372"
Louisiana,2024,"4,597,740"
Maine,2024,"1,405,012"
Maryland,2024,"6,263,220"
Massachusetts,2024,"7,136,171"
Michigan,2024,"10,140,459"
Minnesota,2024,"5,793,151"
Mississippi,2024,"2,943,045"
Missouri,2024,"6,245,466"
Montana,2024,"1,137,233"
Nebraska,2024,"2,005,465"
Nevada,2024,"3,267,467"
New Hampshire,2024,"1,409,032"
New Jersey,2024,"9,500,851"
New Mexico,2024,"2,130,256"
New York,2024,"19,867,248"
North Carolina,2024,"11,046,024"
North Dakota,2024,"796,568"
Ohio,2024,"11,883,304"
Oklahoma,2024,"4,095,393"
Oregon,2024,"4,272,371"
Pennsylvania,2024,"13,078,751"
Rhode Island,2024,"1,112,308"
South Carolina,2024,"5,478,831"
South Dakota,2024,"924,669"
Tennessee,2024,"7,227,750"
Texas,2024,"31,290,831"
Utah,2024,"3,503,613"
Vermont,2024,"648,493"
Virginia,2024,"8,811,195"
Washington,2024,"7,958,180"
West Virginia,2024,"1,769,979"
Wisconsin,2024,"5,960,975"
Wyoming,2024,"587,618"
